CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,619,France,Female,42,2,0.00,1,1,1,101348.88,1
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
15619304,502,France,Female,42,8,159660.80,3,1,0,113931.57,1
15701354,699,France,Female,39,1,0.00,2,0,0,93826.63,0
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.10,0
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
15592531,822,France,Male,50,7,0.00,2,1,1,10062.80,0
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.50,0
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
15767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
15737173,497,Spain,Male,24,3,0.00,2,1,0,76390.01,0
15632264,476,France,Female,34,10,0.00,2,1,0,26260.98,0
15691483,549,France,Female,25,5,0.00,2,0,0,190857.79,0
15600882,635,Spain,Female,35,7,0.00,2,1,1,65951.65,0
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
15737452,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
15788218,549,Spain,Female,24,9,0.00,2,1,1,14406.41,0
15661507,587,Spain,Male,45,6,0.00,1,0,0,158684.81,0
15568982,726,France,Female,24,6,0.00,2,1,1,54724.03,0
15577657,732,France,Male,41,8,0.00,2,1,1,170886.17,0
15597945,636,Spain,Female,32,8,0.00,2,1,0,138555.46,0
15699309,510,Spain,Female,38,4,0.00,1,1,0,118913.53,1
15725737,669,France,Male,46,3,0.00,2,0,1,8487.75,0
15625047,846,France,Female,38,5,0.00,1,1,1,187616.16,0
15738191,577,France,Male,25,3,0.00,2,0,1,124508.29,0
15736816,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
15700772,571,France,Male,44,9,0.00,2,0,0,38433.35,0
15728693,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
15656300,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
